ID,DATE,TIME,BOROUGH,LATITUDE,LONGITUDE,CLASS
3192414,3,19,MANHATTAN,40.7570751,-73.9698495,0
3192383,3,19,MANHATTAN,40.7242849,-73.9755935,0
3192875,3,19,MANHATTAN,40.737229,-74.0006459,1
3193357,3,19,STATEN ISLAND,40.5562561,-74.1576552,0
3193029,3,19,BRONX,40.8514994,-73.883821,0
3193497,3,19,BRONX,40.8680877,-73.8338573,0
3192382,3,19,MANHATTAN,40.7274022,-73.9885376,0
3192998,3,19,BRONX,40.8326282,-73.9253747,1
3192366,3,19,MANHATTAN,40.7259148,-74.0083486,0
3193230,3,19,QUEENS,40.6770697,-73.7488786,0
3193113,3,19,BROOKLYN,40.6622318,-73.9399649,0
3192960,3,19,MANHATTAN,40.8090701,-73.9445394,0
3193313,3,19,QUEENS,40.7336689,-73.8576535,1
3192945,3,19,MANHATTAN,40.7787301,-73.9778302,0
3193126,3,19,BROOKLYN,40.6682774,-73.9200469,0
3192709,3,1,QUEENS,40.7131888,-73.9107767,0
3192779,3,1,QUEENS,40.7495629,-73.8547936,0
3192693,3,1,QUEENS,40.6929726,-73.8153654,0
3192695,3,1,QUEENS,40.6868297,-73.8670167,0
3193014,3,1,BRONX,40.8587088,-73.9036912,0
3192406,3,1,MANHATTAN,40.7563818,-73.9643237,1
3193404,3,20,MANHATTAN,40.757125,-73.9719069,0
3192502,3,20,BRONX,40.8454299,-73.9139752,1
3193344,3,20,STATEN ISLAND,40.6366233,-74.0817779,1
3193051,3,20,BRONX,40.8618642,-73.9127392,1
3193115,3,20,BROOKLYN,40.6434682,-74.0227699,0
3192545,3,20,BROOKLYN,40.6048025,-73.9667959,1
3192972,3,20,BRONX,40.8100528,-73.9251435,0
3192810,3,20,QUEENS,40.6964022,-73.7480665,0
3193154,3,20,BROOKLYN,40.687076,-73.9235436,0
3192367,3,20,MANHATTAN,40.7241667,-74.0011256,0
3193310,3,20,QUEENS,40.7230494,-73.8469469,1
3193078,3,20,BROOKLYN,40.6539787,-73.9528241,1
3192893,3,20,MANHATTAN,40.7484001,-73.9999386,0
3193644,3,20,BROOKLYN,40.706039,-73.9412852,0
3193241,3,20,QUEENS,40.6687266,-73.8214416,1
3193045,3,20,BRONX,40.9010398,-73.8968799,0
3192973,3,21,BRONX,40.8100528,-73.9251435,0
3192896,3,21,MANHATTAN,40.754584,-73.9991446,0
3193056,3,21,BROOKLYN,40.598312,-73.9611853,0
3193177,3,21,BROOKLYN,40.7104816,-73.9654916,0
3193356,3,21,STATEN ISLAND,40.5730631,-74.087697,1
3192966,3,21,MANHATTAN,40.8191422,-73.9371787,0
3192923,3,21,MANHATTAN,40.7564966,-73.972362,0
3192932,3,21,MANHATTAN,40.7756775,-73.9646888,0
3193012,3,21,BRONX,40.8587638,-73.8973575,0
3193116,3,21,BROOKLYN,40.6685491,-73.9902239,1
3192897,3,21,MANHATTAN,40.7490533,-73.9957485,0
3193144,3,21,BROOKLYN,40.6627999,-73.9783481,0
3193071,3,21,BROOKLYN,40.6334134,-74.0045504,1
3193044,3,21,BRONX,40.8843887,-73.9075851,0
3193355,3,22,STATEN ISLAND,40.5582723,-74.1348723,0
3192944,3,22,MANHATTAN,40.7784761,-73.9854489,1
3193260,3,22,QUEENS,40.7453924,-73.9066122,1
3193021,3,22,BRONX,40.8732139,-73.8670959,1
3192965,3,22,MANHATTAN,40.8204372,-73.9362273,0
3192400,3,22,MANHATTAN,40.7448014,-73.9914181,0
3192872,3,22,MANHATTAN,40.7199725,-73.9928968,1
3192933,3,22,MANHATTAN,40.7624884,-73.9629739,0
3192962,3,22,MANHATTAN,40.8287816,-73.9423405,1
3192811,3,22,QUEENS,40.6837777,-73.7697441,1
3193030,3,22,BRONX,40.8519979,-73.8855443,1
3193295,3,22,QUEENS,40.7341875,-73.8739944,1
3193189,3,22,QUEENS,40.6045753,-73.749443,0
3192927,3,23,MANHATTAN,40.760405,-73.9874743,0
3193019,3,23,BRONX,40.8773934,-73.8664909,1
3193079,3,23,BROOKLYN,40.6444315,-73.9295994,0
3192898,3,23,MANHATTAN,40.7520589,-74.0009817,0
3193253,3,23,QUEENS,40.7103517,-73.7938951,0
3192993,3,23,BRONX,40.8333663,-73.8513801,1
3193015,3,23,BRONX,40.85214,-73.9206971,0
3193073,3,23,BROOKLYN,40.6443736,-73.9756948,1
3192670,3,2,BROOKLYN,40.6870408,-73.9057384,0
3192378,3,3,MANHATTAN,40.730669,-73.9988418,0
3192452,3,3,MANHATTAN,40.8029708,-73.9638616,0
3192741,3,3,QUEENS,40.7134703,-73.8101467,0
3192909,3,4,MANHATTAN,40.7522807,-73.9896919,0
3192820,3,4,QUEENS,40.7633458,-73.8773073,0
3192508,3,5,BRONX,40.8478547,-73.895578,0
3192504,3,5,BRONX,40.8859908,-73.827914,0
3193000,3,5,BRONX,40.8797307,-73.8319767,0
3192481,3,5,BRONX,40.8421473,-73.8561854,1
3192986,3,6,BRONX,40.8350109,-73.9035195,0
3192802,3,6,QUEENS,40.6730095,-73.7880875,1
3196085,3,6,STATEN ISLAND,40.6311355,-74.1279294,0
3192655,3,6,BROOKLYN,40.6968944,-73.9556391,0
3192548,3,6,BROOKLYN,40.6176447,-74.0030257,0
3192678,3,6,BROOKLYN,40.682852,-73.9727855,1
3192589,3,6,BROOKLYN,40.6199551,-74.0376999,0
3192532,3,6,BROOKLYN,40.5886305,-73.9679705,0
3192672,3,7,BROOKLYN,40.6936492,-73.9833217,0
3192456,3,7,MANHATTAN,40.823567,-73.9376732,0
3193066,3,7,BROOKLYN,40.6127849,-73.9309979,1
3192488,3,7,BRONX,40.8227751,-73.8584457,0
3192385,3,7,MANHATTAN,40.7578281,-73.9930696,0
3192434,3,7,MANHATTAN,40.7596199,-73.9619648,0
3192654,3,7,BROOKLYN,40.6806417,-73.9533713,0
3192819,3,7,QUEENS,40.7619571,-73.8970519,0
3192830,3,7,STATEN ISLAND,40.640185,-74.0792456,1
3192733,3,7,QUEENS,40.6768766,-73.8237596,1
3192639,3,7,BROOKLYN,40.6772036,-73.9941559,0
3192725,3,7,QUEENS,40.6656136,-73.7356712,0
3192523,3,8,BRONX,40.8686957,-73.9023571,0
3192726,3,8,QUEENS,40.7272282,-73.7104995,0
3193255,3,8,QUEENS,40.7138423,-73.8060984,0
3192766,3,8,QUEENS,40.740343,-73.8249847,1
3192700,3,8,QUEENS,40.7177562,-73.7581371,1
3192673,3,8,BROOKLYN,40.6871391,-73.9874303,0
3192767,3,8,QUEENS,40.7604644,-73.8265417,0
3193047,3,8,BRONX,40.8786453,-73.871598,0
3192433,3,8,MANHATTAN,40.7717376,-73.961243,0
3192476,3,8,BRONX,40.8319666,-73.8966906,0
3192599,3,8,BROOKLYN,40.6324369,-73.8881726,0
3192543,3,8,BROOKLYN,40.5971472,-73.9299373,0
3192501,3,8,BRONX,40.8624442,-73.8971422,0
3192556,3,8,BROOKLYN,40.6247998,-73.9426464,0
3192703,3,8,QUEENS,40.6932954,-73.8080116,0
3192894,3,8,MANHATTAN,40.7526874,-74.000527,0
3192443,3,8,MANHATTAN,40.7902108,-73.9750204,0
3192429,3,8,MANHATTAN,40.7713874,-73.9564776,1
